user_id,username,email,signup_date,last_login,activity_score,preferences
USER10000,user_3572,user_3572@example.com,2025-06-06,2026-01-31 16:06:16,0,{"theme": "dark", "notifications": true}
USER10001,user_5402,user_5402@example.com,2025-02-18,2026-01-31 20:06:16,64,{"theme": "light", "notifications": true}
USER10002,user_8696,user_8696@example.com,2025-09-01,2026-01-31 01:06:16,31,{"theme": "light", "notifications": false}
USER10003,user_1862,user_1862@example.com,2025-11-18,2026-01-31 04:06:16,65,{"theme": "light", "notifications": true}
USER10004,user_1455,user_1455@example.com,2025-06-27,2026-01-31 07:06:16,72,{"theme": "dark", "notifications": true}
USER10005,user_5510,user_5510@example.com,2025-04-24,2026-01-31 07:06:16,50,{"theme": "dark", "notifications": false}
USER10006,user_9768,user_9768@example.com,2025-09-19,2026-01-31 06:06:16,96,{"theme": "light", "notifications": false}
USER10007,user_6069,user_6069@example.com,2025-05-10,2026-01-31 01:06:16,15,{"theme": "light", "notifications": false}
USER10008,user_6072,user_6072@example.com,2026-01-26,2026-01-31 04:06:16,49,{"theme": "light", "notifications": true}
USER10009,user_4712,user_4712@example.com,2025-11-21,2026-01-31 05:06:16,49,{"theme": "dark", "notifications": true}
USER10010,user_2382,user_2382@example.com,2025-10-03,2026-01-31 20:06:16,65,{"theme": "dark", "notifications": true}
USER10011,user_1177,user_1177@example.com,2026-01-12,2026-01-31 03:06:16,71,{"theme": "dark", "notifications": true}
USER10012,user_1643,user_1643@example.com,2025-07-08,2026-01-31 00:06:16,40,{"theme": "dark", "notifications": true}
USER10013,user_7866,user_7866@example.com,2025-11-24,2026-01-31 12:06:16,73,{"theme": "dark", "notifications": true}
USER10014,user_9009,user_9009@example.com,2025-05-31,2026-01-31 10:06:16,19,{"theme": "dark", "notifications": false}
USER10015,user_4393,user_4393@example.com,2025-11-09,2026-01-31 11:06:16,20,{"theme": "light", "notifications": true}
USER10016,user_5416,user_5416@example.com,2025-07-15,2026-01-31 05:06:16,38,{"theme": "dark", "notifications": false}
USER10017,user_4668,user_4668@example.com,2025-08-22,2026-01-31 19:06:16,36,{"theme": "light", "notifications": false}
USER10018,user_4920,user_4920@example.com,2025-10-12,2026-01-31 08:06:16,53,{"theme": "light", "notifications": true}
USER10019,user_1589,user_1589@example.com,2025-05-13,2026-01-31 20:06:16,48,{"theme": "dark", "notifications": false}
USER10020,user_8756,user_8756@example.com,2025-06-07,2026-01-30 23:06:16,67,{"theme": "light", "notifications": true}
USER10021,user_8945,user_8945@example.com,2025-05-19,2026-01-31 00:06:16,12,{"theme": "dark", "notifications": true}
USER10022,user_2834,user_2834@example.com,2025-07-24,2026-01-30 20:06:16,10,{"theme": "dark", "notifications": false}
USER10023,user_9806,user_9806@example.com,2025-12-26,2026-01-31 05:06:16,70,{"theme": "light", "notifications": true}
USER10024,user_5309,user_5309@example.com,2025-02-23,2026-01-31 18:06:16,78,{"theme": "dark", "notifications": false}
USER10025,user_2093,user_2093@example.com,2025-09-06,2026-01-31 10:06:16,93,{"theme": "dark", "notifications": true}
USER10026,user_4112,user_4112@example.com,2025-05-19,2026-01-30 23:06:16,8,{"theme": "dark", "notifications": false}
USER10027,user_5784,user_5784@example.com,2025-08-30,2026-01-31 18:06:16,76,{"theme": "light", "notifications": true}
USER10028,user_1241,user_1241@example.com,2025-03-11,2026-01-31 01:06:16,38,{"theme": "dark", "notifications": true}
USER10029,user_5387,user_5387@example.com,2025-11-27,2026-01-31 11:06:16,38,{"theme": "light", "notifications": false}
USER10030,user_6264,user_6264@example.com,2025-11-24,2026-01-31 18:06:16,21,{"theme": "dark", "notifications": true}
USER10031,user_9219,user_9219@example.com,2026-01-25,2026-01-31 06:06:16,55,{"theme": "light", "notifications": true}
USER10032,user_7733,user_7733@example.com,2025-03-23,2026-01-31 00:06:16,15,{"theme": "dark", "notifications": true}
USER10033,user_4942,user_4942@example.com,2025-02-25,2026-01-31 00:06:16,28,{"theme": "light", "notifications": false}
USER10034,user_6248,user_6248@example.com,2025-12-30,2026-01-31 18:06:16,44,{"theme": "light", "notifications": true}
USER10035,user_2686,user_2686@example.com,2025-05-24,2026-01-31 12:06:16,0,{"theme": "dark", "notifications": true}
USER10036,user_3479,user_3479@example.com,2025-04-05,2026-01-31 07:06:16,86,{"theme": "dark", "notifications": false}
USER10037,user_9947,user_9947@example.com,2025-07-17,2026-01-31 07:06:16,99,{"theme": "light", "notifications": false}
USER10038,user_7945,user_7945@example.com,2025-11-27,2026-01-31 20:06:16,61,{"theme": "light", "notifications": false}
USER10039,user_4599,user_4599@example.com,2025-09-23,2026-01-31 05:06:16,61,{"theme": "light", "notifications": true}
USER10040,user_7402,user_7402@example.com,2025-09-29,2026-01-31 00:06:16,16,{"theme": "light", "notifications": true}
USER10041,user_7473,user_7473@example.com,2026-01-30,2026-01-31 18:06:16,49,{"theme": "light", "notifications": false}
USER10042,user_4971,user_4971@example.com,2025-02-04,2026-01-31 02:06:16,20,{"theme": "light", "notifications": true}
USER10043,user_3666,user_3666@example.com,2025-07-09,2026-01-31 12:06:16,69,{"theme": "dark", "notifications": false}
USER10044,user_1864,user_1864@example.com,2025-09-11,2026-01-31 00:06:16,84,{"theme": "dark", "notifications": false}
USER10045,user_9064,user_9064@example.com,2025-07-24,2026-01-31 13:06:16,44,{"theme": "light", "notifications": true}
USER10046,user_6123,user_6123@example.com,2026-01-25,2026-01-30 23:06:16,26,{"theme": "light", "notifications": false}
USER10047,user_5569,user_5569@example.com,2025-10-01,2026-01-31 00:06:16,72,{"theme": "dark", "notifications": true}
USER10048,user_5538,user_5538@example.com,2025-12-02,2026-01-31 13:06:16,35,{"theme": "dark", "notifications": false}
